text,label,action,context_features,session_id,turn_number,speaker,content,conversation_type,budget_type,user_profile,expected_action,confidence,metadata
"Context: [user]: That's very helpful | [assistant]: Your interests in technology, photography align well with your profession. | Turn 6, Budget: standard | Current: [user]: That's very helpful",0,store,"[6.0, 19.0, 3.0, 0.0, 0.8571428571428571, 0.5, 0.0, 0.0, 0.0, 1.0]",personal_information_sharing_2504,6,user,That's very helpful,personal,standard,"{""expertise"": ""medium"", ""domain"": ""general""}",store,0.8698240568339433,"{""template"": ""personal_information_sharing"", ""turn_ratio"": 0.6666666666666666, ""content_length"": 19}"
"Context: [user]: What would you recommend for situation? | [assistant]: I'm glad I could help. | Turn 4, Budget: minimal | Current: [user]: I see",2,drop,"[4.0, 5.0, 2.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_3055,4,user,I see,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",drop,0.7240968427741178,"{""template"": ""casual_chat"", ""turn_ratio"": 0.6666666666666666, ""content_length"": 5}"
"Context: [user]: What would you recommend for situation? | [assistant]: You're very welcome! | Turn 4, Budget: minimal | Current: [user]: I see",2,drop,"[4.0, 5.0, 2.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_5092,4,user,I see,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",drop,0.7887653278958728,"{""template"": ""casual_chat"", ""turn_ratio"": 0.5714285714285714, ""content_length"": 5}"
"Context: [assistant]: The challenge you're facing with performance problems is common... | [user]: Thanks for the explanation! | Turn 7, Budget: premium | Current: [assistant]: Based on your consultant background, I'd suggest...",0,store,"[7.0, 51.0, 7.0, 1.0, 0.875, 1.0, 0.0, 0.0, 0.0, 0.0]",technical_deep_dive_6582,7,assistant,"Based on your consultant background, I'd suggest...",technical,premium,"{""expertise"": ""high"", ""domain"": ""engineering""}",store,0.6014696267020485,"{""template"": ""technical_deep_dive"", ""turn_ratio"": 0.7, ""content_length"": 51}"
"Context: [user]: I'm particularly interested in aspect | [assistant]: I'm glad I could help. | Turn 4, Budget: minimal | Current: [user]: Perfect",2,drop,"[4.0, 7.0, 1.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_5091,4,user,Perfect,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",drop,0.7021499465270881,"{""template"": ""casual_chat"", ""turn_ratio"": 0.8, ""content_length"": 7}"
"Context: [user]: Can you help me understand concept? | [assistant]: I understand your situation. | Turn 4, Budget: standard | Current: [user]: I appreciate your help",0,store,"[4.0, 22.0, 4.0, 0.0, 0.8, 0.5, 0.0, 0.0, 0.0, 1.0]",educational_qa_5129,4,user,I appreciate your help,educational,standard,"{""expertise"": ""low"", ""domain"": ""learning""}",store,0.5156751424302087,"{""template"": ""educational_qa"", ""turn_ratio"": 0.8, ""content_length"": 22}"
"Context: [user]: I'm currently working on project at company | [assistant]: Working at StartupCo must be exciting. | Turn 2, Budget: standard | Current: [user]: Can you help me understand concept?",0,store,"[2.0, 35.0, 6.0, 0.0, 0.6666666666666666, 0.5, 0.0, 1.0, 0.0, 0.0]",personal_information_sharing_2759,2,user,Can you help me understand concept?,personal,standard,"{""expertise"": ""medium"", ""domain"": ""general""}",store,0.7917131440780196,"{""template"": ""personal_information_sharing"", ""turn_ratio"": 0.16666666666666666, ""content_length"": 35}"
"Context: Start of conversation | Turn 0, Budget: premium | Current: [user]: The documentation says quote but I'm confused about aspect",0,store,"[0.0, 58.0, 9.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0]",technical_deep_dive_5623,0,user,The documentation says quote but I'm confused about aspect,technical,premium,"{""expertise"": ""high"", ""domain"": ""engineering""}",store,0.745650605292365,"{""template"": ""technical_deep_dive"", ""turn_ratio"": 0.0, ""content_length"": 58}"
"Context: [assistant]: Working at InnovateLab must be exciting. | [user]: That's very helpful | Turn 9, Budget: standard | Current: [assistant]: Your experience in healthcare sounds fascinating.",0,store,"[9.0, 49.0, 6.0, 1.0, 0.9, 0.5, 0.0, 0.0, 0.0, 0.0]",personal_information_sharing_6020,9,assistant,Your experience in healthcare sounds fascinating.,personal,standard,"{""expertise"": ""medium"", ""domain"": ""general""}",store,0.7032928153810096,"{""template"": ""personal_information_sharing"", ""turn_ratio"": 0.9, ""content_length"": 49}"
"Context: [assistant]: I understand your situation. | [user]: I'm particularly interested in aspect | Turn 3, Budget: standard | Current: [assistant]: That's an important consideration.",0,store,"[3.0, 34.0, 4.0, 1.0, 0.75, 0.5, 0.0, 0.0, 0.0, 1.0]",educational_qa_5846,3,assistant,That's an important consideration.,educational,standard,"{""expertise"": ""low"", ""domain"": ""learning""}",store,0.6657499132993265,"{""template"": ""educational_qa"", ""turn_ratio"": 0.3, ""content_length"": 34}"
"Context: [assistant]: That's an important consideration. | [user]: Thanks for the explanation! | Turn 5, Budget: standard | Current: [assistant]: I understand your situation.",0,store,"[5.0, 28.0, 4.0, 1.0, 0.8333333333333334, 0.5, 0.0, 0.0, 0.0, 1.0]",troubleshooting_session_5719,5,assistant,I understand your situation.,troubleshooting,standard,"{""expertise"": ""medium"", ""domain"": ""technical""}",store,0.64917327190485,"{""template"": ""troubleshooting_session"", ""turn_ratio"": 0.625, ""content_length"": 28}"
"Context: [assistant]: I understand your situation. | [user]: I appreciate your help | Turn 15, Budget: premium | Current: [assistant]: That's an important consideration.",0,store,"[15.0, 34.0, 4.0, 1.0, 0.9375, 1.0, 0.0, 0.0, 0.0, 1.0]",business_consultation_9624,15,assistant,That's an important consideration.,business,premium,"{""expertise"": ""high"", ""domain"": ""business""}",store,0.5075850074355286,"{""template"": ""business_consultation"", ""turn_ratio"": 0.9375, ""content_length"": 34}"
"Context: Start of conversation | Turn 0, Budget: minimal | Current: [user]: Hello there!",0,store,"[0.0, 12.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_2920,0,user,Hello there!,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",store,0.05617659645492026,"{""template"": ""casual_chat"", ""turn_ratio"": 0.0, ""content_length"": 12}"
"Context: [assistant]: That's an important consideration. | [user]: I'm particularly interested in aspect | Turn 3, Budget: standard | Current: [assistant]: I can help you with that.",0,store,"[3.0, 25.0, 6.0, 1.0, 0.75, 0.5, 0.0, 0.0, 0.0, 0.0]",troubleshooting_session_1983,3,assistant,I can help you with that.,troubleshooting,standard,"{""expertise"": ""medium"", ""domain"": ""technical""}",store,0.6539948999745445,"{""template"": ""troubleshooting_session"", ""turn_ratio"": 0.42857142857142855, ""content_length"": 25}"
"Context: [assistant]: Nice to meet you! Tokyo is a great place for consultants. | [user]: Can you help me understand concept? | Turn 3, Budget: standard | Current: [assistant]: Working at BigTech Inc must be exciting.",0,store,"[3.0, 40.0, 7.0, 1.0, 0.75, 0.5, 0.0, 0.0, 0.0, 0.0]",personal_information_sharing_3452,3,assistant,Working at BigTech Inc must be exciting.,personal,standard,"{""expertise"": ""medium"", ""domain"": ""general""}",store,0.7090426282372857,"{""template"": ""personal_information_sharing"", ""turn_ratio"": 0.3, ""content_length"": 40}"
"Context: [user]: Hello there! | [assistant]: You're very welcome! | Turn 2, Budget: minimal | Current: [user]: I'm particularly interested in aspect",0,store,"[2.0, 37.0, 5.0, 0.0, 0.6666666666666666, 0.0, 0.0, 0.0, 1.0, 0.0]",casual_chat_1740,2,user,I'm particularly interested in aspect,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",store,0.1319150321077669,"{""template"": ""casual_chat"", ""turn_ratio"": 0.4, ""content_length"": 37}"
"Context: Start of conversation | Turn 0, Budget: premium | Current: [user]: Our quarterly metrics show data and we need to action",0,store,"[0.0, 53.0, 10.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",business_consultation_3853,0,user,Our quarterly metrics show data and we need to action,business,premium,"{""expertise"": ""high"", ""domain"": ""business""}",store,0.5850809832765089,"{""template"": ""business_consultation"", ""turn_ratio"": 0.0, ""content_length"": 53}"
"Context: [user]: I'm particularly interested in aspect | [assistant]: I understand your situation. | Turn 4, Budget: standard | Current: [user]: Thanks for the explanation!",0,store,"[4.0, 27.0, 4.0, 0.0, 0.8, 0.5, 0.0, 0.0, 0.0, 1.0]",educational_qa_5884,4,user,Thanks for the explanation!,educational,standard,"{""expertise"": ""low"", ""domain"": ""learning""}",store,0.623527810457103,"{""template"": ""educational_qa"", ""turn_ratio"": 0.6666666666666666, ""content_length"": 27}"
"Context: [assistant]: That's an important consideration. | [user]: What would you recommend for situation? | Turn 3, Budget: premium | Current: [assistant]: I can help you with that.",0,store,"[3.0, 25.0, 6.0, 1.0, 0.75, 1.0, 0.0, 0.0, 0.0, 0.0]",business_consultation_3853,3,assistant,I can help you with that.,business,premium,"{""expertise"": ""high"", ""domain"": ""business""}",store,0.6223778410023073,"{""template"": ""business_consultation"", ""turn_ratio"": 0.2727272727272727, ""content_length"": 25}"
"Context: [user]: That's very helpful | [assistant]: That's an important consideration. | Turn 12, Budget: standard | Current: [user]: That's very helpful",0,store,"[12.0, 19.0, 3.0, 0.0, 0.9230769230769231, 0.5, 0.0, 0.0, 0.0, 1.0]",troubleshooting_session_8054,12,user,That's very helpful,troubleshooting,standard,"{""expertise"": ""medium"", ""domain"": ""technical""}",store,0.7355775489174221,"{""template"": ""troubleshooting_session"", ""turn_ratio"": 0.9230769230769231, ""content_length"": 19}"
"Context: [assistant]: I can help you with that. | [user]: Can you help me understand concept? | Turn 3, Budget: standard | Current: [assistant]: I understand your situation.",0,store,"[3.0, 28.0, 4.0, 1.0, 0.75, 0.5, 0.0, 0.0, 0.0, 1.0]",educational_qa_6358,3,assistant,I understand your situation.,educational,standard,"{""expertise"": ""low"", ""domain"": ""learning""}",store,0.5684847462573571,"{""template"": ""educational_qa"", ""turn_ratio"": 0.6, ""content_length"": 28}"
"Context: Start of conversation | Turn 0, Budget: standard | Current: [user]: I read that fact but I don't understand aspect",0,store,"[0.0, 46.0, 9.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]",educational_qa_7226,0,user,I read that fact but I don't understand aspect,educational,standard,"{""expertise"": ""low"", ""domain"": ""learning""}",store,0.5161428181400709,"{""template"": ""educational_qa"", ""turn_ratio"": 0.0, ""content_length"": 46}"
"Context: [assistant]: That's an important consideration. | [user]: I appreciate your help | Turn 13, Budget: premium | Current: [assistant]: Let me provide some guidance on that.",0,store,"[13.0, 37.0, 7.0, 1.0, 0.9285714285714286, 1.0, 0.0, 0.0, 0.0, 0.0]",business_consultation_8960,13,assistant,Let me provide some guidance on that.,business,premium,"{""expertise"": ""high"", ""domain"": ""business""}",store,0.6341708771763255,"{""template"": ""business_consultation"", ""turn_ratio"": 0.7222222222222222, ""content_length"": 37}"
"Context: Start of conversation | Turn 0, Budget: minimal | Current: [user]: Alright",2,drop,"[0.0, 7.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_8656,0,user,Alright,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",drop,0.6939542992821656,"{""template"": ""casual_chat"", ""turn_ratio"": 0.0, ""content_length"": 7}"
"Context: Start of conversation | Turn 0, Budget: standard | Current: [user]: I'm currently working on project at company",0,store,"[0.0, 43.0, 7.0, 0.0, 0.0, 0.5, 0.0, 0.0, 1.0, 0.0]",personal_information_sharing_4651,0,user,I'm currently working on project at company,personal,standard,"{""expertise"": ""medium"", ""domain"": ""general""}",store,0.8780261436793184,"{""template"": ""personal_information_sharing"", ""turn_ratio"": 0.0, ""content_length"": 43}"
"Context: [user]: I appreciate your help | [assistant]: I understand your situation. | Turn 10, Budget: standard | Current: [user]: That's very helpful",0,store,"[10.0, 19.0, 3.0, 0.0, 0.9090909090909091, 0.5, 0.0, 0.0, 0.0, 1.0]",troubleshooting_session_8054,10,user,That's very helpful,troubleshooting,standard,"{""expertise"": ""medium"", ""domain"": ""technical""}",store,0.761017507288615,"{""template"": ""troubleshooting_session"", ""turn_ratio"": 0.7692307692307693, ""content_length"": 19}"
"Context: [assistant]: You're very welcome! | [user]: I'm particularly interested in aspect | Turn 3, Budget: minimal | Current: [assistant]: I'm glad I could help.",0,store,"[3.0, 22.0, 5.0, 1.0, 0.75, 0.0, 0.0, 0.0, 1.0, 0.0]",casual_chat_5091,3,assistant,I'm glad I could help.,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",store,0.15642073556053102,"{""template"": ""casual_chat"", ""turn_ratio"": 0.6, ""content_length"": 22}"
"Context: [assistant]: I can help you with that. | [user]: That's very helpful | Turn 5, Budget: standard | Current: [assistant]: I understand your situation.",0,store,"[5.0, 28.0, 4.0, 1.0, 0.8333333333333334, 0.5, 0.0, 0.0, 0.0, 1.0]",educational_qa_8000,5,assistant,I understand your situation.,educational,standard,"{""expertise"": ""low"", ""domain"": ""learning""}",store,0.5989340194350103,"{""template"": ""educational_qa"", ""turn_ratio"": 0.7142857142857143, ""content_length"": 28}"
"Context: Start of conversation | Turn 0, Budget: standard | Current: [user]: My background is in field with years years of experience",0,store,"[0.0, 56.0, 10.0, 0.0, 0.0, 0.5, 0.0, 0.0, 1.0, 0.0]",personal_information_sharing_3715,0,user,My background is in field with years years of experience,personal,standard,"{""expertise"": ""medium"", ""domain"": ""general""}",store,0.832615689284715,"{""template"": ""personal_information_sharing"", ""turn_ratio"": 0.0, ""content_length"": 56}"
"Context: [assistant]: Let me provide some guidance on that. | [user]: That's very helpful | Turn 11, Budget: standard | Current: [assistant]: That's an important consideration.",0,store,"[11.0, 34.0, 4.0, 1.0, 0.9166666666666666, 0.5, 0.0, 0.0, 0.0, 1.0]",troubleshooting_session_2388,11,assistant,That's an important consideration.,troubleshooting,standard,"{""expertise"": ""medium"", ""domain"": ""technical""}",store,0.6170970305094812,"{""template"": ""troubleshooting_session"", ""turn_ratio"": 0.9166666666666666, ""content_length"": 34}"
"Context: [assistant]: I understand your situation. | [user]: What would you recommend for situation? | Turn 3, Budget: standard | Current: [assistant]: I understand your situation.",0,store,"[3.0, 28.0, 4.0, 1.0, 0.75, 0.5, 0.0, 0.0, 0.0, 1.0]",troubleshooting_session_9997,3,assistant,I understand your situation.,troubleshooting,standard,"{""expertise"": ""medium"", ""domain"": ""technical""}",store,0.6369073562095354,"{""template"": ""troubleshooting_session"", ""turn_ratio"": 0.5, ""content_length"": 28}"
"Context: [user]: Can you explain how technology works in context? | Turn 1, Budget: premium | Current: [assistant]: The challenge you're facing with scalability issues is common...",0,store,"[1.0, 64.0, 9.0, 1.0, 0.5, 1.0, 0.0, 0.0, 0.0, 0.0]",technical_deep_dive_7227,1,assistant,The challenge you're facing with scalability issues is common...,technical,premium,"{""expertise"": ""high"", ""domain"": ""engineering""}",store,0.6661871782874567,"{""template"": ""technical_deep_dive"", ""turn_ratio"": 0.06666666666666667, ""content_length"": 64}"
"Context: [user]: The documentation says quote but I'm confused about aspect | Turn 1, Budget: premium | Current: [assistant]: The challenge you're facing with scalability issues is common...",0,store,"[1.0, 64.0, 9.0, 1.0, 0.5, 1.0, 0.0, 0.0, 0.0, 0.0]",technical_deep_dive_3576,1,assistant,The challenge you're facing with scalability issues is common...,technical,premium,"{""expertise"": ""high"", ""domain"": ""engineering""}",store,0.6354777360755889,"{""template"": ""technical_deep_dive"", ""turn_ratio"": 0.09090909090909091, ""content_length"": 64}"
"Context: Start of conversation | Turn 0, Budget: minimal | Current: [user]: Alright",2,drop,"[0.0, 7.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_6509,0,user,Alright,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",drop,0.6584242179499216,"{""template"": ""casual_chat"", ""turn_ratio"": 0.0, ""content_length"": 7}"
"Context: [assistant]: Let me provide some guidance on that. | [user]: I'm particularly interested in aspect | Turn 3, Budget: standard | Current: [assistant]: Let me provide some guidance on that.",0,store,"[3.0, 37.0, 7.0, 1.0, 0.75, 0.5, 0.0, 0.0, 0.0, 0.0]",troubleshooting_session_1683,3,assistant,Let me provide some guidance on that.,troubleshooting,standard,"{""expertise"": ""medium"", ""domain"": ""technical""}",store,0.6679782997154644,"{""template"": ""troubleshooting_session"", ""turn_ratio"": 0.25, ""content_length"": 37}"
"Context: [assistant]: In the context of manufacturing, the key considerations are... | [user]: That's very helpful | Turn 11, Budget: premium | Current: [assistant]: In the context of manufacturing, the key considerations are...",0,store,"[11.0, 62.0, 9.0, 1.0, 0.9166666666666666, 1.0, 0.0, 0.0, 0.0, 0.0]",technical_deep_dive_7831,11,assistant,"In the context of manufacturing, the key considerations are...",technical,premium,"{""expertise"": ""high"", ""domain"": ""engineering""}",store,0.7502766210130409,"{""template"": ""technical_deep_dive"", ""turn_ratio"": 0.9166666666666666, ""content_length"": 62}"
"Context: [user]: That's very helpful | [assistant]: Let me provide some guidance on that. | Turn 6, Budget: standard | Current: [user]: Thanks for the explanation!",0,store,"[6.0, 27.0, 4.0, 0.0, 0.8571428571428571, 0.5, 0.0, 0.0, 0.0, 1.0]",troubleshooting_session_8613,6,user,Thanks for the explanation!,troubleshooting,standard,"{""expertise"": ""medium"", ""domain"": ""technical""}",store,0.6881437679424944,"{""template"": ""troubleshooting_session"", ""turn_ratio"": 0.46153846153846156, ""content_length"": 27}"
"Context: Start of conversation | Turn 0, Budget: standard | Current: [user]: Can you explain topic in simple terms?",0,store,"[0.0, 38.0, 7.0, 0.0, 0.0, 0.5, 0.0, 1.0, 0.0, 0.0]",educational_qa_9938,0,user,Can you explain topic in simple terms?,educational,standard,"{""expertise"": ""low"", ""domain"": ""learning""}",store,0.6664266157912822,"{""template"": ""educational_qa"", ""turn_ratio"": 0.0, ""content_length"": 38}"
"Context: [assistant]: The challenge you're facing with performance problems is common... | [user]: Can you help me understand concept? | Turn 3, Budget: premium | Current: [assistant]: The challenge you're facing with performance problems is common...",0,store,"[3.0, 66.0, 9.0, 1.0, 0.75, 1.0, 0.0, 0.0, 0.0, 0.0]",technical_deep_dive_8104,3,assistant,The challenge you're facing with performance problems is common...,technical,premium,"{""expertise"": ""high"", ""domain"": ""engineering""}",store,0.7683987866119699,"{""template"": ""technical_deep_dive"", ""turn_ratio"": 0.2727272727272727, ""content_length"": 66}"
"Context: [assistant]: I can help you with that. | [user]: I appreciate your help | Turn 9, Budget: standard | Current: [assistant]: Let me provide some guidance on that.",0,store,"[9.0, 37.0, 7.0, 1.0, 0.9, 0.5, 0.0, 0.0, 0.0, 0.0]",troubleshooting_session_8809,9,assistant,Let me provide some guidance on that.,troubleshooting,standard,"{""expertise"": ""medium"", ""domain"": ""technical""}",store,0.714713205634148,"{""template"": ""troubleshooting_session"", ""turn_ratio"": 0.9, ""content_length"": 37}"
"Context: [user]: The logs show log_message and I'm not sure what it means | [assistant]: That's an important consideration. | Turn 2, Budget: standard | Current: [user]: I'm particularly interested in aspect",0,store,"[2.0, 37.0, 5.0, 0.0, 0.6666666666666666, 0.5, 0.0, 0.0, 1.0, 0.0]",troubleshooting_session_2837,2,user,I'm particularly interested in aspect,troubleshooting,standard,"{""expertise"": ""medium"", ""domain"": ""technical""}",store,0.6979727784818757,"{""template"": ""troubleshooting_session"", ""turn_ratio"": 0.2222222222222222, ""content_length"": 37}"
"Context: [assistant]: I understand your situation. | [user]: That's very helpful | Turn 5, Budget: premium | Current: [assistant]: Let me provide some guidance on that.",0,store,"[5.0, 37.0, 7.0, 1.0, 0.8333333333333334, 1.0, 0.0, 0.0, 0.0, 0.0]",business_consultation_5779,5,assistant,Let me provide some guidance on that.,business,premium,"{""expertise"": ""high"", ""domain"": ""business""}",store,0.6391142756263793,"{""template"": ""business_consultation"", ""turn_ratio"": 0.35714285714285715, ""content_length"": 37}"
"Context: [user]: I appreciate your help | [assistant]: I understand your situation. | Turn 6, Budget: premium | Current: [user]: I appreciate your help",0,store,"[6.0, 22.0, 4.0, 0.0, 0.8571428571428571, 1.0, 0.0, 0.0, 0.0, 1.0]",business_consultation_3386,6,user,I appreciate your help,business,premium,"{""expertise"": ""high"", ""domain"": ""business""}",store,0.5359533071200357,"{""template"": ""business_consultation"", ""turn_ratio"": 0.35294117647058826, ""content_length"": 22}"
"Context: [assistant]: I understand your situation. | [user]: I appreciate your help | Turn 5, Budget: standard | Current: [assistant]: I can help you with that.",0,store,"[5.0, 25.0, 6.0, 1.0, 0.8333333333333334, 0.5, 0.0, 0.0, 0.0, 0.0]",educational_qa_8643,5,assistant,I can help you with that.,educational,standard,"{""expertise"": ""low"", ""domain"": ""learning""}",store,0.6008365814869636,"{""template"": ""educational_qa"", ""turn_ratio"": 0.625, ""content_length"": 25}"
"Context: [assistant]: Feel free to ask if you have more questions. | [user]: Thanks for the explanation! | Turn 7, Budget: minimal | Current: [assistant]: I'm glad I could help.",0,store,"[7.0, 22.0, 5.0, 1.0, 0.875, 0.0, 0.0, 0.0, 1.0, 0.0]",casual_chat_7763,7,assistant,I'm glad I could help.,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",store,0.05,"{""template"": ""casual_chat"", ""turn_ratio"": 0.875, ""content_length"": 22}"
"Context: [assistant]: I understand your situation. | [user]: I appreciate your help | Turn 5, Budget: premium | Current: [assistant]: I understand your situation.",0,store,"[5.0, 28.0, 4.0, 1.0, 0.8333333333333334, 1.0, 0.0, 0.0, 0.0, 1.0]",business_consultation_6854,5,assistant,I understand your situation.,business,premium,"{""expertise"": ""high"", ""domain"": ""business""}",store,0.6331550670644512,"{""template"": ""business_consultation"", ""turn_ratio"": 0.4166666666666667, ""content_length"": 28}"
"Context: [assistant]: Let me provide some guidance on that. | [user]: What would you recommend for situation? | Turn 3, Budget: standard | Current: [assistant]: I understand your situation.",0,store,"[3.0, 28.0, 4.0, 1.0, 0.75, 0.5, 0.0, 0.0, 0.0, 1.0]",educational_qa_8150,3,assistant,I understand your situation.,educational,standard,"{""expertise"": ""low"", ""domain"": ""learning""}",store,0.5102684506204429,"{""template"": ""educational_qa"", ""turn_ratio"": 0.375, ""content_length"": 28}"
"Context: [user]: Can you help me understand concept? | [assistant]: I can help you with that. | Turn 4, Budget: premium | Current: [user]: That's very helpful",0,store,"[4.0, 19.0, 3.0, 0.0, 0.8, 1.0, 0.0, 0.0, 0.0, 1.0]",business_consultation_9624,4,user,That's very helpful,business,premium,"{""expertise"": ""high"", ""domain"": ""business""}",store,0.6672346429851601,"{""template"": ""business_consultation"", ""turn_ratio"": 0.25, ""content_length"": 19}"
"Context: [user]: I appreciate your help | [assistant]: I can help you with that. | Turn 6, Budget: standard | Current: [user]: I appreciate your help",0,store,"[6.0, 22.0, 4.0, 0.0, 0.8571428571428571, 0.5, 0.0, 0.0, 0.0, 1.0]",educational_qa_7767,6,user,I appreciate your help,educational,standard,"{""expertise"": ""low"", ""domain"": ""learning""}",store,0.5169364721780169,"{""template"": ""educational_qa"", ""turn_ratio"": 0.6666666666666666, ""content_length"": 22}"
"Context: [user]: That's very helpful | [assistant]: That's an important consideration. | Turn 6, Budget: standard | Current: [user]: Thanks for the explanation!",0,store,"[6.0, 27.0, 4.0, 0.0, 0.8571428571428571, 0.5, 0.0, 0.0, 0.0, 1.0]",educational_qa_6572,6,user,Thanks for the explanation!,educational,standard,"{""expertise"": ""low"", ""domain"": ""learning""}",store,0.6434954252671705,"{""template"": ""educational_qa"", ""turn_ratio"": 0.8571428571428571, ""content_length"": 27}"
"Context: Start of conversation | Turn 0, Budget: minimal | Current: [user]: Perfect",2,drop,"[0.0, 7.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_5091,0,user,Perfect,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",drop,0.7989067509294687,"{""template"": ""casual_chat"", ""turn_ratio"": 0.0, ""content_length"": 7}"
"Context: [user]: Our quarterly metrics show data and we need to action | [assistant]: That's an important consideration. | Turn 2, Budget: premium | Current: [user]: What would you recommend for situation?",0,store,"[2.0, 39.0, 6.0, 0.0, 0.6666666666666666, 1.0, 0.0, 1.0, 0.0, 0.0]",business_consultation_7926,2,user,What would you recommend for situation?,business,premium,"{""expertise"": ""high"", ""domain"": ""business""}",store,0.5985638020906494,"{""template"": ""business_consultation"", ""turn_ratio"": 0.18181818181818182, ""content_length"": 39}"
"Context: [user]: I'm currently working on project at company | [assistant]: Working at BigTech Inc must be exciting. | Turn 2, Budget: standard | Current: [user]: Can you help me understand concept?",0,store,"[2.0, 35.0, 6.0, 0.0, 0.6666666666666666, 0.5, 0.0, 1.0, 0.0, 0.0]",personal_information_sharing_8360,2,user,Can you help me understand concept?,personal,standard,"{""expertise"": ""medium"", ""domain"": ""general""}",store,0.7451071940517809,"{""template"": ""personal_information_sharing"", ""turn_ratio"": 0.2, ""content_length"": 35}"
"Context: [user]: The market analysis indicates trend in sector | Turn 1, Budget: premium | Current: [assistant]: I can help you with that.",0,store,"[1.0, 25.0, 6.0, 1.0, 0.5, 1.0, 0.0, 0.0, 0.0, 0.0]",business_consultation_8636,1,assistant,I can help you with that.,business,premium,"{""expertise"": ""high"", ""domain"": ""business""}",store,0.6458853036756645,"{""template"": ""business_consultation"", ""turn_ratio"": 0.1, ""content_length"": 25}"
"Context: [assistant]: Let me provide some guidance on that. | [user]: I appreciate your help | Turn 5, Budget: standard | Current: [assistant]: Let me provide some guidance on that.",0,store,"[5.0, 37.0, 7.0, 1.0, 0.8333333333333334, 0.5, 0.0, 0.0, 0.0, 0.0]",educational_qa_7993,5,assistant,Let me provide some guidance on that.,educational,standard,"{""expertise"": ""low"", ""domain"": ""learning""}",store,0.6731368889279782,"{""template"": ""educational_qa"", ""turn_ratio"": 0.8333333333333334, ""content_length"": 37}"
"Context: [assistant]: That's an important consideration. | [user]: What would you recommend for situation? | Turn 3, Budget: standard | Current: [assistant]: I can help you with that.",0,store,"[3.0, 25.0, 6.0, 1.0, 0.75, 0.5, 0.0, 0.0, 0.0, 0.0]",educational_qa_3093,3,assistant,I can help you with that.,educational,standard,"{""expertise"": ""low"", ""domain"": ""learning""}",store,0.5066104978864286,"{""template"": ""educational_qa"", ""turn_ratio"": 0.3, ""content_length"": 25}"
"Context: [user]: I'm implementing system and facing challenge | [assistant]: That's a great question about machine learning. Let me explain... | Turn 2, Budget: premium | Current: [user]: What would you recommend for situation?",0,store,"[2.0, 39.0, 6.0, 0.0, 0.6666666666666666, 1.0, 0.0, 1.0, 0.0, 0.0]",technical_deep_dive_8794,2,user,What would you recommend for situation?,technical,premium,"{""expertise"": ""high"", ""domain"": ""engineering""}",store,0.6632690005841078,"{""template"": ""technical_deep_dive"", ""turn_ratio"": 0.15384615384615385, ""content_length"": 39}"
"Context: [user]: I'm having an issue with system where problem | Turn 1, Budget: standard | Current: [assistant]: I understand your situation.",0,store,"[1.0, 28.0, 4.0, 1.0, 0.5, 0.5, 0.0, 0.0, 0.0, 1.0]",troubleshooting_session_6232,1,assistant,I understand your situation.,troubleshooting,standard,"{""expertise"": ""medium"", ""domain"": ""technical""}",store,0.6550471032043909,"{""template"": ""troubleshooting_session"", ""turn_ratio"": 0.16666666666666666, ""content_length"": 28}"
"Context: [assistant]: Let me provide some guidance on that. | [user]: I appreciate your help | Turn 9, Budget: premium | Current: [assistant]: That's an important consideration.",0,store,"[9.0, 34.0, 4.0, 1.0, 0.9, 1.0, 0.0, 0.0, 0.0, 1.0]",business_consultation_1756,9,assistant,That's an important consideration.,business,premium,"{""expertise"": ""high"", ""domain"": ""business""}",store,0.6278004495481385,"{""template"": ""business_consultation"", ""turn_ratio"": 0.6923076923076923, ""content_length"": 34}"
